team,adjde,Year,conf,similar_team,similar_adjde,adjde_diff
Brown,105.51885291051794,2024,Ivy,Princeton,105.71210167382948,0.19324876331154428
Pepperdine,108.27474057115532,2024,WCC,LMU (CA),109.72248238707192,1.4477418159166007
A&M-Corpus Christi,101.78023089153902,2024,Slnd,McNeese,101.63251377492738,0.14771711661164488
Long Beach St.,107.6647645076312,2024,BW,UC San Diego,107.84606959804938,0.18130509041817788
Penn,112.02101579890665,2024,Ivy,Columbia,110.09014382797731,1.9308719709293314
Columbia,110.09014382797731,2024,Ivy,Dartmouth,109.63100121963464,0.45914260834267395
Harvard,105.24087420758642,2024,Ivy,Brown,105.51885291051794,0.27797870293152016
UC Riverside,108.36294697940396,2024,BW,UC San Diego,107.84606959804938,0.5168773813545755
San Jose St.,109.57855825989924,2024,MWC,Fresno St.,108.26919115327344,1.3093671066257997
Cal St. Fullerton,104.63870846707388,2024,BW,CSUN,104.85493519668566,0.21622672961177614
Air Force,112.1834930127423,2024,MWC,San Jose St.,109.57855825989924,2.6049347528430644
Fresno St.,108.26919115327344,2024,MWC,Wyoming,106.97176055194733,1.2974306013261128
Nicholls,109.91267354197647,2024,Slnd,Southeastern La.,109.8872054958027,0.02546804617377063
CSUN,104.85493519668566,2024,BW,Cal St. Fullerton,104.63870846707388,0.21622672961177614
UC Santa Barbara,110.81313428518284,2024,BW,Cal Poly,112.19044843845862,1.3773141532757762
San Diego,106.62167634755043,2024,WCC,Pepperdine,108.27474057115532,1.6530642236048863
Lamar University,108.62348397555618,2024,Slnd,Southeastern La.,109.8872054958027,1.26372152024652
CSU Bakersfield,106.65153043513676,2024,BW,Long Beach St.,107.6647645076312,1.0132340724944413
Portland,112.47210719844269,2024,WCC,LMU (CA),109.72248238707192,2.749624811370765
Southeastern La.,109.8872054958027,2024,Slnd,Nicholls,109.91267354197647,0.02546804617377063
Northwestern St.,111.2587576946211,2024,Slnd,East Texas A&M,112.04969737712167,0.7909396825005786
Dartmouth,109.63100121963464,2024,Ivy,Columbia,110.09014382797731,0.45914260834267395
New Orleans,114.66508625578224,2024,Slnd,UIW,114.93737024558544,0.27228398980319923
East Texas A&M,112.04969737712167,2024,Slnd,Northwestern St.,111.2587576946211,0.7909396825005786
Cal Poly,112.19044843845862,2024,BW,UC Santa Barbara,110.81313428518284,1.3773141532757762
UIW,114.93737024558544,2024,Slnd,New Orleans,114.66508625578224,0.27228398980319923
Pacific,116.91938200302944,2024,WCC,Portland,112.47210719844269,4.447274804586755
Houston Christian,120.06650163396858,2024,Slnd,UIW,114.93737024558544,5.1291313883831435
Gonzaga,96.67692821483628,2025,WCC,San Francisco,98.8038172622051,2.1268890473688202
Saint Mary's (CA),92.9465011156453,2025,WCC,Gonzaga,96.67692821483628,3.730427099190976
Colorado St.,98.95445503279488,2025,MWC,UNLV,99.48980791276236,0.5353528799674763
New Mexico,95.42130307069708,2025,MWC,San Diego St.,95.79159237908894,0.370289308391861
Santa Clara,100.28922560388104,2025,WCC,San Francisco,98.8038172622051,1.4854083416759352
Boise St.,100.21438897027105,2025,MWC,UNLV,99.48980791276236,0.7245810575086864
UC San Diego,97.54005598072249,2025,BW,UC Irvine,97.33879335687143,0.20126262385105065
Utah St.,105.39342440256917,2025,MWC,Wyoming,105.73055194690866,0.337127544339495
San Diego St.,95.79159237908894,2025,MWC,New Mexico,95.42130307069708,0.370289308391861
McNeese,99.9535951702764,2025,Slnd,Lamar University,102.10469110539134,2.151095935114938
San Francisco,98.8038172622051,2025,WCC,Santa Clara,100.28922560388104,1.4854083416759352
